chart,version,post_deploy_hooks,other_hooks,hook_status,generates_secrets,existing_secret,crds,no_crds_variant,webhooks,required_values,values_schema,install_vs_upgrade,notes,extension_slots,variants_built,buildable_not_yet_run,not_yet_enabled
coredns/coredns,1.45.2,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),—,—,yes — NOTES.txt,yes — per-use review,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
crossplane-stable/crossplane,2.3.1,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,—,—,—,—,yes — per-use review,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
descheduler/descheduler,0.36.0,—,—,—,—,n/a,—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),—,—,yes — NOTES.txt,yes — per-use review,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
dex/dex,0.24.0,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,—,—,—,yes — NOTES.txt,yes — per-use review,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
elastic/eck-operator,3.4.0,—,—,—,—,buildable — not yet run,yes,built,1,yes — mandatory inputs (required/fail),—,—,yes — NOTES.txt,yes — per-use review,default+ha+no-crds,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
elastic/filebeat,8.5.1,—,—,—,—,n/a,—,n/a (no CRDs),—,—,—,—,yes — NOTES.txt,yes — per-use review,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
elastic/kibana,8.5.1,—,—,—,—,n/a,—,n/a (no CRDs),—,—,—,—,yes — NOTES.txt,yes — per-use review,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
elastic/logstash,8.5.1,—,—,—,—,n/a,—,n/a (no CRDs),—,—,—,—,yes — NOTES.txt,yes — per-use review,default+ha,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
elastic/metricbeat,8.5.1,—,—,—,—,n/a,—,n/a (no CRDs),—,—,—,—,yes — NOTES.txt,yes — per-use review,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
external-dns/external-dns,1.21.1,—,—,—,—,buildable — not yet run,1,built,—,yes — mandatory inputs (required/fail),yes — values.schema.json,—,yes — NOTES.txt,yes — per-use review,default+no-crds,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
external-secrets/external-secrets,2.5.0,—,—,—,—,buildable — not yet run,yes,built,—,—,—,—,—,yes — per-use review,default+no-crds,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
fairwinds-stable/goldilocks,10.3.0,—,—,—,yes,NOT built — chart ships no Secret toggle (#113),1,buildable — not yet run,1,—,—,—,yes — NOTES.txt,yes — per-use review,default,—,existing-secret (chart ships no Secret toggle — #113)
fairwinds-stable/vpa,4.11.0,—,—,—,—,n/a,1,built,1,—,—,—,yes — NOTES.txt,yes — per-use review,default+no-crds,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
falcosecurity/falco,9.0.0,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),—,—,yes — NOTES.txt,yes — per-use review,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
falcosecurity/falcosidekick,0.13.1,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),—,—,yes — NOTES.txt,yes — per-use review,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
fluent/fluent-bit,0.57.6,—,test,lifecycle-policy: ConfigHub applies / Flux|Argo runs (live receipt pending),—,n/a,—,n/a (no CRDs),—,—,—,—,yes — NOTES.txt,yes — per-use review,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
fluent/fluentd,0.5.3,—,—,—,—,n/a,—,n/a (no CRDs),—,—,—,—,yes — NOTES.txt,yes — per-use review,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
gatekeeper/gatekeeper,3.22.2,—,pre-install+pre-upgrade,lifecycle-policy: ConfigHub applies / Flux|Argo runs (live receipt pending),—,buildable — not yet run,17,built,2,—,—,—,—,yes — per-use review,default+no-crds,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
gitlab/gitlab-runner,0.89.0,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,—,—,—,yes — NOTES.txt,yes — per-use review,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
grafana/alloy,1.8.2,—,—,—,—,n/a,2,built,—,yes — mandatory inputs (required/fail),—,—,yes — NOTES.txt,yes — per-use review,default+no-crds,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
grafana/grafana,10.5.15,—,—,—,—,n/a,—,n/a (no CRDs),—,—,—,—,—,yes — per-use review,existing-secret-ingress+generated-passwords,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
grafana/loki,7.0.0,—,—,—,yes,n/a (generated only),10,buildable — not yet run,4,yes — mandatory inputs (required/fail),yes — values.schema.json,—,yes — NOTES.txt,yes — per-use review,simple-scalable-minio+single-binary-filesystem,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
grafana/promtail,6.17.1,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,—,—,—,—,yes — per-use review,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
grafana/pyroscope,2.0.2,—,—,—,yes,NOT built — chart ships no Secret toggle (#113),4,built,—,yes — mandatory inputs (required/fail),—,—,yes — NOTES.txt,yes — per-use review,default+ha+no-crds,—,existing-secret (chart ships no Secret toggle — #113)
grafana/rollout-operator,0.49.0,—,—,—,—,n/a,yes,built,—,—,—,—,—,yes — per-use review,default+no-crds,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
grafana/tempo,1.24.4,—,—,—,—,n/a,—,n/a (no CRDs),—,—,—,—,—,yes — per-use review,local-persistent+s3-query-observability,ingress-tls (buildable — not yet run),ha (tempo single-binary chart; HA is the separate tempo-distributed chart)
haproxytech/kubernetes-ingress,1.52.0,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,—,—,—,—,yes — per-use review,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
hashicorp/consul,2.0.0,—,—,—,—,n/a,—,buildable — not yet run,2,yes — mandatory inputs (required/fail),—,yes — renders differ install vs upgrade,yes — NOTES.txt,yes — per-use review,default-control-plane+secure-mesh-existing-secrets,no-crds (buildable — not yet run); ingress-tls (buildable — not yet run),ha (curated proof lane — bespoke teaching needed)
hashicorp/terraform,1.1.2,—,—,—,—,n/a,1,built,—,yes — mandatory inputs (required/fail),—,—,yes — NOTES.txt,—,default+no-crds,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
hashicorp/vault,0.32.0,—,—,—,—,n/a,—,n/a (no CRDs),1,yes — mandatory inputs (required/fail),yes — values.schema.json,—,yes — NOTES.txt,yes — per-use review,default+ha-raft-ui,ingress-tls (buildable — not yet run); tls (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
ingress-nginx/ingress-nginx,4.15.1,—,—,—,—,n/a,—,n/a (no CRDs),1,yes — mandatory inputs (required/fail),—,—,yes — NOTES.txt,—,admission-disabled+default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
istio/gateway,1.30.0,—,—,—,—,n/a,—,n/a (no CRDs),—,—,—,—,—,—,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
istio/istiod,1.30.0,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,—,—,—,—,yes — per-use review,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
jaegertracing/jaeger-operator,2.57.0,—,—,—,—,n/a,1,built,2,—,—,—,yes — NOTES.txt,yes — per-use review,default+no-crds,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
jaegertracing/jaeger,4.8.0,—,—,—,yes,NOT built — chart ships no Secret toggle (#113),—,n/a (no CRDs),—,—,—,yes — renders differ install vs upgrade,yes — NOTES.txt,yes — per-use review,default,—,existing-secret (chart ships no Secret toggle — #113)
jetstack/cert-manager-csi-driver,v0.14.0,—,—,—,—,n/a,—,n/a (no CRDs),—,—,—,—,—,—,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
jetstack/cert-manager,v1.20.2,—,—,—,—,n/a,—,n/a (no CRDs),—,—,—,—,—,yes — per-use review,crds-enabled+default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
jetstack/trust-manager,v0.22.1,—,—,—,—,buildable — not yet run,yes,built,—,—,—,—,—,yes — per-use review,default+no-crds,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
kedacore/keda,2.19.0,—,—,—,—,n/a,6,built,1,—,—,—,yes — NOTES.txt,yes — per-use review,default+no-crds,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
kyverno/kyverno-policies,3.8.0,—,—,—,—,n/a,—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),—,—,yes — NOTES.txt,yes — per-use review,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
kyverno/kyverno,3.8.1,post-upgrade,pre-delete+test,lifecycle-policy: ConfigHub applies / Flux|Argo runs (live receipt pending),yes,NOT built — chart ships no Secret toggle (#113),25,built,—,yes — mandatory inputs (required/fail),yes — values.schema.json,yes — renders differ install vs upgrade,yes — NOTES.txt,yes — per-use review,default+no-crds,—,existing-secret (chart ships no Secret toggle — #113)
linkerd/linkerd-crds,1.8.0,—,—,—,—,buildable — not yet run,yes,buildable — not yet run,—,—,—,—,—,—,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
longhorn/longhorn,1.11.2,—,—,—,—,n/a,—,buildable — not yet run,—,yes — mandatory inputs (required/fail),—,—,yes — NOTES.txt,—,default+ui-ingress,no-crds (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
metrics-server/metrics-server,3.13.0,—,—,—,yes,NOT built — chart ships no Secret toggle (#113),—,n/a (no CRDs),—,—,—,—,yes — NOTES.txt,—,default+external-tls-ca,—,existing-secret (chart ships no Secret toggle — #113)
minio-operator/operator,7.1.1,—,—,—,—,n/a,yes,"NOT built — template-baked CRDs, no toggle (#114)",—,—,—,—,—,—,default,—,"no-crds (template-baked CRDs, no toggle — #114)"
minio-operator/tenant,7.1.1,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,—,—,—,—,yes — per-use review,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
nats/nack,0.34.0,—,—,—,—,buildable — not yet run,yes,built,—,—,—,—,—,yes — per-use review,default+no-crds,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
nats/nats,2.14.0,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),—,—,—,yes — per-use review,default+ha,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
nats/surveyor,0.20.9,—,—,—,—,n/a,—,n/a (no CRDs),—,—,—,—,—,yes — per-use review,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,4.0.18,—,—,—,—,n/a,—,n/a (no CRDs),—,—,—,—,—,—,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
open-telemetry/opentelemetry-operator,0.114.0,—,—,—,—,buildable — not yet run,yes,built,—,—,—,—,—,yes — per-use review,default+no-crds,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
opencost/opencost,2.5.21,—,—,—,—,n/a,—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),—,—,yes — NOTES.txt,yes — per-use review,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
percona/pg-operator,3.0.0,—,—,—,—,n/a,yes,built,—,—,—,—,—,—,default+no-crds,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
percona/psmdb-operator,1.22.0,—,—,—,—,n/a,yes,built,—,—,—,—,—,—,default+no-crds,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
percona/pxc-operator,1.19.1,—,—,—,—,n/a,1,built,—,—,—,yes — renders differ install vs upgrade,yes — NOTES.txt,yes — per-use review,default+no-crds,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
projectcalico/tigera-operator,v3.32.0,—,pre-delete,lifecycle-policy: ConfigHub applies / Flux|Argo runs (live receipt pending),—,n/a,—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),—,—,—,—,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
prometheus-community/alertmanager,1.37.0,—,—,—,—,n/a,—,n/a (no CRDs),—,—,yes — values.schema.json,—,yes — NOTES.txt,yes — per-use review,default+ha,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
prometheus-community/kube-prometheus-stack,85.3.3,post-install+post-upgrade,pre-install+pre-upgrade,lifecycle-policy: ConfigHub applies / Flux|Argo runs (live receipt pending),yes,NOT built — chart ships no Secret toggle (#113),20,built,2,yes — mandatory inputs (required/fail),—,yes — renders differ install vs upgrade,yes — NOTES.txt,yes — per-use review,default+no-crds,—,existing-secret (chart ships no Secret toggle — #113)
prometheus-community/kube-state-metrics,7.4.0,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,—,—,—,yes — NOTES.txt,yes — per-use review,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
prometheus-community/prometheus-adapter,5.3.0,—,—,—,—,n/a,—,n/a (no CRDs),—,—,—,—,yes — NOTES.txt,yes — per-use review,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
prometheus-community/prometheus-blackbox-exporter,11.10.0,—,—,—,—,n/a,—,n/a (no CRDs),—,—,—,—,yes — NOTES.txt,yes — per-use review,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
prometheus-community/prometheus-node-exporter,4.55.0,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),—,—,yes — NOTES.txt,yes — per-use review,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
prometheus-community/prometheus-operator-crds,29.0.0,—,—,—,—,buildable — not yet run,11,buildable — not yet run,—,—,—,—,—,—,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
prometheus-community/prometheus-pushgateway,3.6.0,—,—,—,yes,n/a (generated only),—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),—,—,yes — NOTES.txt,yes — per-use review,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
prometheus-community/prometheus,29.8.0,—,—,—,yes,n/a (generated only),—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),yes — values.schema.json,—,yes — NOTES.txt,yes — per-use review,default+server-only-ephemeral,—,ha (curated proof lane — bespoke teaching needed)
rook-release/rook-ceph-cluster,v1.19.5,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,—,—,—,—,yes — per-use review,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
rook-release/rook-ceph,v1.19.5,—,—,—,—,n/a,yes,"NOT built — template-baked CRDs, no toggle (#114)",—,—,—,—,—,—,default,—,"no-crds (template-baked CRDs, no toggle — #114)"
runix/pgadmin4,1.62.0,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),—,—,yes — NOTES.txt,yes — per-use review,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
sealed-secrets/sealed-secrets,2.18.6,—,—,—,—,buildable — not yet run,yes,built,—,—,—,—,—,yes — per-use review,default+no-crds,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,—,—,—,—,n/a,—,buildable — not yet run,—,—,—,—,—,yes — per-use review,default+sync-secret-rotation,no-crds (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
stakater/reloader,2.2.12,—,—,—,—,n/a,—,n/a (no CRDs),—,—,yes — values.schema.json,—,yes — NOTES.txt,yes — per-use review,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
strimzi/strimzi-kafka-operator,1.0.0,—,—,—,—,n/a,10,built,—,—,—,—,yes — NOTES.txt,yes — per-use review,default+no-crds,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
traefik/traefik,40.2.0,—,—,—,yes,NOT built — chart ships no Secret toggle (#113),25,built,2,yes — mandatory inputs (required/fail),yes — values.schema.json,—,yes — NOTES.txt,yes — per-use review,default+no-crds,—,existing-secret (chart ships no Secret toggle — #113)
velero/velero,12.0.1,—,—,—,—,buildable — not yet run,yes,built,—,—,—,—,—,yes — per-use review,default+no-crds,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
vm/victoria-logs-single,0.12.5,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,—,—,—,—,yes — per-use review,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
vm/victoria-metrics-single,0.39.0,—,—,—,—,n/a,—,n/a (no CRDs),—,—,—,—,—,yes — per-use review,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
