repository,chart,version,hooks,keep_policy,lookup,webhooks,capabilities,generated_secrets,test_hooks,namespace,crd_documents,gated_subcharts,scanned_files,decided_lanes
bitnami,mysql,14.0.3,0,0,3,0,5,10,0,0,0,0,54,default:unsafe-to-flatten
bitnami,nginx,24.0.2,0,0,5,0,5,11,0,0,0,0,47,default:unsafe-to-flatten
bitnami,nginx,24.0.4,0,0,5,0,5,11,0,0,0,0,47,
bitnami,nginx,25.0.0,0,0,5,0,5,11,0,0,0,0,48,
bitnami,opensearch,2.0.10,0,1,3,0,5,22,0,0,0,0,89,default:safe-to-flatten
bitnami,phpmyadmin,20.0.0,0,0,7,0,10,18,0,0,0,1,90,default:safe-to-flatten
bitnami,postgresql,18.6.10,0,1,3,0,5,10,0,0,0,0,65,
bitnami,postgresql,18.6.7,0,1,3,0,5,10,0,0,0,0,65,default:unsafe-to-flatten
bitnami,postgresql,18.7.0,0,1,3,0,5,10,0,0,0,0,65,
bitnami,rabbitmq,16.0.14,0,0,3,0,5,12,0,0,0,0,45,default:unsafe-to-flatten
bitnami,redis,25.5.3,0,0,8,0,5,8,0,0,0,0,64,default:unsafe-to-flatten
bitnami,redis,27.0.0,0,0,8,0,5,8,0,0,0,0,65,default:unsafe-to-flatten
bitnami,spark,10.0.3,0,0,3,0,5,11,0,0,0,0,44,default:safe-to-flatten
bitnami,zookeeper,13.8.7,0,0,3,0,5,17,0,0,0,0,41,default:safe-to-flatten
cloudnative-pg,cloudnative-pg,0.28.2,0,10,0,2,0,0,0,0,10,1,17,
coredns,coredns,1.45.2,0,0,0,0,1,0,0,0,0,0,34,default:safe-to-flatten
crossplane-stable,crossplane,2.3.1,0,0,0,0,1,0,0,0,0,0,17,default:safe-to-flatten
descheduler,descheduler,0.36.0,0,0,0,0,0,0,0,0,0,0,16,default:safe-to-flatten
dex,dex,0.24.0,1,0,0,0,15,0,1,0,0,0,19,
elastic,eck-operator,3.4.0,0,12,0,1,2,0,0,2,12,1,30,
elastic,filebeat,8.5.1,0,0,0,0,0,0,0,0,0,0,21,default:safe-to-flatten
elastic,kibana,8.5.1,9,0,0,0,0,0,0,0,0,0,24,
elastic,logstash,8.5.1,0,0,0,0,1,0,0,0,0,0,26,default:safe-to-flatten
elastic,metricbeat,8.5.1,0,0,0,0,1,0,0,0,0,0,43,default:safe-to-flatten
external-dns,external-dns,1.21.1,0,0,0,0,0,0,0,0,1,0,12,default:flatten-with-routes
external-secrets,external-secrets,2.5.0,0,0,0,2,6,0,0,0,23,1,56,default:flatten-with-routes
external-secrets,external-secrets,2.7.0,0,0,0,2,6,0,0,0,24,1,57,
external-secrets,external-secrets,2.8.0,0,0,0,2,6,0,0,0,25,1,61,default:flatten-with-routes
falcosecurity,falco,9.0.0,1,0,1,0,9,0,1,0,0,3,71,
falcosecurity,falcosidekick,0.13.1,1,0,0,0,4,0,1,0,0,0,24,
fluent,fluent-bit,0.57.6,1,0,0,0,13,0,1,0,0,0,25,default:safe-to-flatten
fluent,fluentd,0.5.3,1,0,0,0,5,0,1,0,0,0,22,
gatekeeper,gatekeeper,3.22.2,17,0,0,2,4,0,0,0,17,0,40,default:flatten-with-routes
gitlab,gitlab-runner,0.89.0,0,0,0,0,4,0,0,0,0,0,24,default:safe-to-flatten
grafana,alloy,1.11.0,0,0,0,0,11,0,0,0,2,1,81,default:flatten-with-routes
grafana,alloy,1.8.2,0,0,0,0,11,0,0,0,2,1,75,default:flatten-with-routes
grafana,grafana,10.5.15,6,0,3,0,12,1,6,0,0,0,50,default:unsafe-to-flatten
grafana,loki,7.0.0,16,0,1,4,32,1,7,0,10,3,255,default:flatten-with-routes
grafana,loki,7.1.0,16,0,1,4,32,1,7,0,12,3,257,
grafana,promtail,6.17.1,0,0,0,0,10,0,0,0,0,0,29,default:safe-to-flatten
grafana,pyroscope,2.0.2,4,0,1,0,35,1,0,0,4,3,174,
grafana,rollout-operator,0.49.0,0,0,0,4,0,0,0,0,4,1,22,
grafana,tempo,1.24.4,0,0,0,0,5,0,0,0,0,0,12,default:safe-to-flatten
haproxytech,kubernetes-ingress,1.52.0,5,0,1,0,8,2,0,1,0,0,89,
hashicorp,consul,2.0.0,44,1,0,2,5,0,1,0,39,0,215,default:unsafe-to-flatten
hashicorp,terraform,1.1.2,3,0,0,0,0,0,3,0,1,0,22,
hashicorp,vault,0.32.0,1,0,0,1,10,0,1,0,0,0,49,default:safe-to-flatten
ingress-nginx,ingress-nginx,4.15.1,8,0,0,1,16,0,0,0,0,0,94,default:unsafe-to-flatten
istio,gateway,1.30.0,0,0,0,0,0,0,0,0,0,0,28,default:safe-to-flatten
istio,istiod,1.30.0,0,0,0,3,0,0,0,0,0,0,53,
jaegertracing,jaeger,4.8.0,2,0,3,0,5,5,0,0,0,0,47,
jaegertracing,jaeger-operator,2.57.0,0,0,0,2,0,0,0,0,1,0,16,
jetstack,cert-manager-csi-driver,v0.14.0,0,0,0,0,1,0,0,0,0,0,9,default:safe-to-flatten
jetstack,cert-manager,v1.20.2,3,7,0,2,0,0,0,0,6,0,51,default:flatten-with-routes
jetstack,cert-manager,v1.21.0,3,7,0,2,0,0,0,0,6,0,51,crds-enabled:flatten-with-routes; default:flatten-with-routes
jetstack,trust-manager,v0.22.1,0,2,0,1,0,5,0,0,1,0,18,
karpenter,karpenter,1.14.0,0,0,0,0,2,0,0,0,5,0,19,crds-managed:safe-to-flatten; default:flatten-with-routes; eks-inference:flatten-with-routes
kedacore,keda,2.19.0,0,0,0,1,2,0,0,0,6,0,49,
kyverno,kyverno,3.8.1,8,2,4,0,10,14,1,2,27,5,195,default:unsafe-to-flatten
kyverno,kyverno,3.8.2,8,2,4,0,10,14,1,2,27,5,195,
kyverno,kyverno-policies,3.8.0,0,0,1,0,0,0,0,0,0,0,41,
kyverno,kyverno-policies,3.8.2,0,0,1,0,0,0,0,0,0,0,41,
linkerd,linkerd-crds,1.8.0,0,0,0,0,0,0,0,0,8,0,30,default:flatten-with-routes
longhorn,longhorn,1.11.2,3,0,1,0,1,0,0,0,22,0,37,default:unsafe-to-flatten
longhorn,longhorn,1.12.0,3,0,1,0,1,0,0,0,23,0,37,
metallb,metallb,0.16.1,0,0,0,2,0,0,0,0,15,2,32,
metrics-server,metrics-server,3.13.0,0,0,2,0,3,1,0,0,0,0,26,default:safe-to-flatten
metrics-server,metrics-server,3.13.1,0,0,2,0,3,1,0,0,0,0,26,default:safe-to-flatten
minio-operator,operator,7.1.1,0,0,0,0,0,0,0,0,2,0,11,default:flatten-with-routes
minio-operator,tenant,7.1.1,0,0,0,0,0,0,0,0,0,0,10,default:unsafe-to-flatten
nats,nack,0.34.0,0,0,0,0,0,0,0,0,6,0,7,default:flatten-with-routes
nats,nats,2.14.0,0,0,0,0,0,0,0,0,0,0,51,default:safe-to-flatten
nats,surveyor,0.20.9,0,0,0,0,1,0,0,0,0,0,11,default:safe-to-flatten
nfs-subdir-external-provisioner,nfs-subdir-external-provisioner,4.0.18,0,0,0,0,4,0,0,0,0,0,15,default:safe-to-flatten
nvidia,nvidia-device-plugin,0.19.3,4,0,0,0,0,0,0,0,4,1,30,default:safe-to-flatten; eks-inference:safe-to-flatten; nfd-enabled:flatten-with-routes
oauth2-proxy,oauth2-proxy,10.7.0,2,1,0,0,13,0,2,0,0,1,84,
open-telemetry,opentelemetry-operator,0.114.0,4,0,2,4,3,3,3,0,4,0,31,
opencost,opencost,2.5.21,0,0,0,0,3,0,0,0,0,0,34,default:safe-to-flatten
percona,pg-operator,3.0.0,0,0,1,0,0,0,0,0,8,0,8,
percona,psmdb-operator,1.22.0,0,1,1,0,0,0,0,1,3,0,10,
percona,pxc-operator,1.19.1,0,1,1,0,0,0,0,1,3,0,10,
policy-reporter,policy-reporter,3.9.1,0,0,0,0,26,0,0,0,3,0,72,default:safe-to-flatten
projectcalico,tigera-operator,v3.32.0,1,0,1,0,0,0,0,0,0,0,17,default:flatten-with-routes
prometheus-community,alertmanager,1.37.0,1,0,0,0,0,0,1,0,0,0,15,
prometheus-community,kube-prometheus-stack,85.3.3,16,0,4,2,85,2,0,0,18,5,283,default:unsafe-to-flatten
prometheus-community,kube-prometheus-stack,86.1.0,16,0,4,2,85,2,0,0,18,5,283,
prometheus-community,kube-prometheus-stack,87.15.1,16,0,4,2,86,2,0,0,18,5,287,
prometheus-community,kube-prometheus-stack,87.19.2,16,0,4,2,86,2,0,0,18,5,286,default:unsafe-to-flatten
prometheus-community,kube-state-metrics,7.4.0,0,0,0,0,1,0,0,0,0,0,22,default:safe-to-flatten
prometheus-community,prometheus,29.8.0,1,0,0,0,4,0,1,0,0,4,88,default:safe-to-flatten
prometheus-community,prometheus,29.9.0,1,0,0,0,4,0,1,0,0,4,88,
prometheus-community,prometheus-adapter,5.3.0,0,0,0,0,3,0,0,0,0,0,28,default:safe-to-flatten
prometheus-community,prometheus-blackbox-exporter,11.10.0,0,0,0,0,1,0,0,0,0,0,27,default:safe-to-flatten
prometheus-community,prometheus-blackbox-exporter,11.15.1,0,0,0,0,1,0,0,0,0,0,29,default:safe-to-flatten
prometheus-community,prometheus-node-exporter,4.55.0,0,0,0,0,1,0,0,0,0,0,16,default:safe-to-flatten
prometheus-community,prometheus-operator-crds,29.0.0,0,0,0,0,0,0,0,0,11,0,13,default:flatten-with-routes
prometheus-community,prometheus-pushgateway,3.6.0,0,0,0,0,0,0,0,0,0,0,16,default:safe-to-flatten
rook-release,rook-ceph-cluster,v1.19.5,0,0,0,0,2,0,0,0,0,0,31,default:safe-to-flatten
rook-release,rook-ceph,v1.19.5,0,20,0,0,2,0,0,0,25,1,76,default:flatten-with-routes
runix,pgadmin4,1.62.0,1,0,0,0,7,0,1,0,0,0,27,
secrets-store-csi-driver,secrets-store-csi-driver,1.6.0,10,1,0,0,8,0,0,0,2,0,20,default:flatten-with-routes
stakater,reloader,2.2.12,0,0,0,0,10,0,0,0,0,0,18,default:safe-to-flatten
stakater,reloader,2.2.14,0,0,0,0,10,0,0,0,0,0,18,default:safe-to-flatten
strimzi,strimzi-kafka-operator,1.0.0,0,0,0,0,1,0,0,0,10,0,37,default:flatten-with-routes
traefik,traefik,40.2.0,0,1,2,2,4,1,0,0,25,0,60,
traefik,traefik,41.0.2,0,1,2,2,4,1,0,0,25,0,60,default:flatten-with-routes
velero,velero,12.0.1,6,0,0,0,4,0,0,0,13,0,41,
velero,velero,12.1.0,6,0,0,0,5,0,0,0,13,0,42,
vm,victoria-logs-single,0.12.5,0,0,3,0,3,0,0,0,0,1,68,
vm,victoria-metrics-single,0.39.0,0,0,0,0,0,0,0,0,0,0,24,default:safe-to-flatten
